source_system;source_file;source_sheet;source_row_number;source_id;deposit_account_no;deposit_account_id;month_index;schedule_date;gross_interest;tax_amount;net_interest;status;payment_date;transaction_no;deposit_transaction_id;migration_notes
EXCEL;EXCEL;deposit_schedules;23;201000100000000007-5;201000100000000007;;5;2026-11-11;206250.00;0.00;206250.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;24;201000100000000007-6;201000100000000007;;6;2026-12-11;206250.00;0.00;206250.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;25;201000100000000007-7;201000100000000007;;7;2027-01-11;206250.00;0.00;206250.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;26;201000100000000007-8;201000100000000007;;8;2027-02-11;206250.00;0.00;206250.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;27;201000100000000007-9;201000100000000007;;9;2027-03-11;206250.00;0.00;206250.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;28;201000100000000007-10;201000100000000007;;10;2027-04-11;206250.00;0.00;206250.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;29;201000100000000007-11;201000100000000007;;11;2027-05-11;206250.00;0.00;206250.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;30;201000100000000007-12;201000100000000007;;12;2027-06-11;206250.00;0.00;206250.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;31;201000100000000008-1;201000100000000008;;1;2025-11-14;103125.00;0.00;103125.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;32;201000100000000008-2;201000100000000008;;2;2025-12-14;103125.00;0.00;103125.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;33;201000100000000008-3;201000100000000008;;3;2026-01-14;103125.00;0.00;103125.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;34;201000100000000009-1;201000100000000009;;1;2025-11-16;687500.00;0.00;687500.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;35;201000100000000009-2;201000100000000009;;2;2025-12-16;687500.00;0.00;687500.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;36;201000100000000009-3;201000100000000009;;3;2026-01-16;687500.00;0.00;687500.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;37;201000100000000010-1;201000100000000010;;1;2025-11-17;343750.00;0.00;343750.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;38;201000100000000010-2;201000100000000010;;2;2025-12-17;343750.00;0.00;343750.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;39;201000100000000010-3;201000100000000010;;3;2026-01-17;343750.00;0.00;343750.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;40;201000100000000011-1;201000100000000011;;1;2025-11-21;240625.00;0.00;240625.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;41;201000100000000011-2;201000100000000011;;2;2025-12-21;240625.00;0.00;240625.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;42;201000100000000011-3;201000100000000011;;3;2026-01-21;240625.00;0.00;240625.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;43;201000100000000012-1;201000100000000012;;1;2025-11-22;103125.00;0.00;103125.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;44;201000100000000012-2;201000100000000012;;2;2025-12-22;103125.00;0.00;103125.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;45;201000100000000012-3;201000100000000012;;3;2026-01-22;103125.00;0.00;103125.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;46;201000100000000013-1;201000100000000013;;1;2025-11-25;687500.00;0.00;687500.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;47;201000100000000013-2;201000100000000013;;2;2025-12-25;687500.00;0.00;687500.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;48;201000100000000013-3;201000100000000013;;3;2026-01-25;687500.00;0.00;687500.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;49;201000100000000014-1;201000100000000014;;1;2026-10-25;550000.00;0.00;550000.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;50;201000100000000014-2;201000100000000014;;2;2026-11-25;550000.00;0.00;550000.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;51;201000100000000014-3;201000100000000014;;3;2026-12-25;550000.00;0.00;550000.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;52;201000100000000014-4;201000100000000014;;4;2027-01-25;550000.00;0.00;550000.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;53;201000100000000014-5;201000100000000014;;5;2027-02-25;550000.00;0.00;550000.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;54;201000100000000014-6;201000100000000014;;6;2027-03-25;550000.00;0.00;550000.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;55;201000100000000014-7;201000100000000014;;7;2027-04-25;550000.00;0.00;550000.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;56;201000100000000014-8;201000100000000014;;8;2027-05-25;550000.00;0.00;550000.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;57;201000100000000014-9;201000100000000014;;9;2027-06-25;550000.00;0.00;550000.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;58;201000100000000014-10;201000100000000014;;10;2027-07-25;550000.00;0.00;550000.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;59;201000100000000014-11;201000100000000014;;11;2027-08-25;550000.00;0.00;550000.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;60;201000100000000014-12;201000100000000014;;12;2027-09-25;550000.00;0.00;550000.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;61;201000100000000015-1;201000100000000015;;1;2025-12-03;166666.67;0.00;166666.67;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;62;201000100000000016-1;201000100000000016;;1;2025-12-03;645833.33;0.00;645833.33;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;63;201000100000000017-1;201000100000000017;;1;2025-12-07;1000000.00;0.00;1000000.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;64;201000100000000018-1;201000100000000018;;1;2025-12-08;1200000.00;0.00;1200000.00;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;65;201000100000000019-1;201000100000000019;;1;2025-02-22;1291666.67;0.00;1291666.67;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;66;201000100000000019-2;201000100000000019;;2;2025-03-22;1291666.67;0.00;1291666.67;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;67;201000100000000019-3;201000100000000019;;3;2025-04-22;1291666.67;0.00;1291666.67;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;68;201000100000000020-1;201000100000000020;;1;2026-11-24;66666.67;0.00;66666.67;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;69;201000100000000020-2;201000100000000020;;2;2026-12-24;66666.67;0.00;66666.67;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;70;201000100000000020-3;201000100000000020;;3;2027-01-24;66666.67;0.00;66666.67;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;71;201000100000000020-4;201000100000000020;;4;2027-02-24;66666.67;0.00;66666.67;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;72;201000100000000020-5;201000100000000020;;5;2027-03-24;66666.67;0.00;66666.67;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;73;201000100000000020-6;201000100000000020;;6;2027-04-24;66666.67;0.00;66666.67;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;74;201000100000000020-7;201000100000000020;;7;2027-05-24;66666.67;0.00;66666.67;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;75;201000100000000020-8;201000100000000020;;8;2027-06-24;66666.67;0.00;66666.67;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;76;201000100000000020-9;201000100000000020;;9;2027-07-24;66666.67;0.00;66666.67;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;77;201000100000000020-10;201000100000000020;;10;2027-08-24;66666.67;0.00;66666.67;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;78;201000100000000020-11;201000100000000020;;11;2027-09-24;66666.67;0.00;66666.67;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;79;201000100000000020-12;201000100000000020;;12;2027-10-24;66666.67;0.00;66666.67;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;80;201000100000000021-1;201000100000000021;;1;2026-01-26;66666.67;0.00;66666.67;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;81;201000100000000022-1;201000100000000022;;1;2026-04-10;166666.67;0.00;166666.67;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;82;201000100000000022-2;201000100000000022;;2;2026-05-10;166666.67;0.00;166666.67;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;83;201000100000000022-3;201000100000000022;;3;2026-06-10;166666.67;0.00;166666.67;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;84;201000100000000023-1;201000100000000023;;1;2026-04-12;233333.33;0.00;233333.33;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;85;201000100000000023-2;201000100000000023;;2;2026-05-12;233333.33;0.00;233333.33;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;86;201000100000000023-3;201000100000000023;;3;2026-06-12;233333.33;0.00;233333.33;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;87;201000100000000024-1;201000100000000024;;1;2026-02-17;166666.67;0.00;166666.67;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;88;201000100000000024-2;201000100000000024;;2;2026-03-17;166666.67;0.00;166666.67;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;89;201000100000000024-3;201000100000000024;;3;2026-04-17;166666.67;0.00;166666.67;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;90;201000100000000025-1;201000100000000025;;1;2026-04-19;133333.33;0.00;133333.33;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;91;201000100000000025-2;201000100000000025;;2;2026-05-19;133333.33;0.00;133333.33;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;92;201000100000000025-3;201000100000000025;;3;2026-06-19;133333.33;0.00;133333.33;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;93;201000100000000026-1;201000100000000026;;1;2025-11-25;666666.67;0.00;666666.67;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;94;201000100000000026-2;201000100000000026;;2;2025-12-25;666666.67;0.00;666666.67;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;95;201000100000000026-3;201000100000000026;;3;2026-01-25;666666.67;0.00;666666.67;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
EXCEL;EXCEL;deposit_schedules;96;201000100000000027-1;201000100000000027;;1;2026-02-28;1291666.67;0.00;1291666.67;PENDING;;;;Auto-generated dari deposit_accounts_template - pajak 0
